;IDTombe;POINT_X;POINT_Y
440;457;30.44653044;19.60572692
441;458;30.44653044;19.60572692
442;459;30.44653044;19.60572692
443;460;30.44653044;19.60572692
444;461;30.44653044;19.60572692
445;462;30.44653044;19.60572692
446;463;30.44653044;19.60572692
447;464;30.44653044;19.60572692
448;465;30.44653044;19.60572692
449;466;30.44653044;19.60572692
450;467;30.44653044;19.60572692
451;468;30.44653044;19.60572692
452;469;30.44653044;19.60572692
453;470;30.44653044;19.60572692
454;471;30.44653044;19.60572692
455;472;30.44653044;19.60572692
456;473;30.44653044;19.60572692
457;474;30.44653044;19.60572692
458;475;30.44653044;19.60572692
459;476;30.44653044;19.60572692
460;477;30.44653044;19.60572692
461;478;30.44653044;19.60572692
462;479;30.44653044;19.60572692
463;480;30.44653044;19.60572692
464;481;30.44653044;19.60572692
465;482;30.44653044;19.60572692
466;483;30.44653044;19.60572692
467;484;30.44653044;19.60572692
468;485;30.44653044;19.60572692
469;486;30.44653044;19.60572692
470;487;30.44653044;19.60572692
471;488;30.44653044;19.60572692
472;489;30.44653044;19.60572692
473;490;30.44653044;19.60572692
474;491;30.44653044;19.60572692
475;492;30.44653044;19.60572692
476;493;30.44653044;19.60572692
477;494;30.44653044;19.60572692
478;495;30.44653044;19.60572692
479;496;30.44653044;19.60572692
480;497;30.44653044;19.60572692
481;498;30.44653044;19.60572692
482;499;30.44653044;19.60572692
483;500;30.44653044;19.60572692
484;501;30.44653044;19.60572692
485;502;30.44653044;19.60572692
486;503;30.44653044;19.60572692
487;504;30.44653044;19.60572692
488;505;30.44653044;19.60572692
489;506;30.44653044;19.60572692
490;507;30.44653044;19.60572692
491;508;30.44653044;19.60572692
492;509;30.44653044;19.60572692
493;510;30.44653044;19.60572692
494;511;30.44653044;19.60572692
495;512;30.44653044;19.60572692
496;513;30.44653044;19.60572692
497;514;30.44653044;19.60572692
498;515;30.44653044;19.60572692
499;516;30.44653044;19.60572692
500;517;30.44653044;19.60572692
501;518;30.44653044;19.60572692
502;519;30.44653044;19.60572692
503;520;30.44653044;19.60572692
504;521;30.44653044;19.60572692
505;522;30.44653044;19.60572692
506;523;30.44653044;19.60572692
507;524;30.44653044;19.60572692
508;525;30.44653044;19.60572692
509;526;30.44653044;19.60572692
510;527;30.44653044;19.60572692
511;528;30.44653044;19.60572692
512;529;30.44653044;19.60572692
513;530;30.44653044;19.60572692
514;531;30.44653044;19.60572692
515;532;30.44653044;19.60572692
516;533;30.44653044;19.60572692
517;534;30.44653044;19.60572692
518;535;30.44653044;19.60572692
519;538;30.44653044;19.60572692
520;539;30.44421899;19.61473681
521;540;30.44421049;19.61471041
522;541;30.44383798;19.61596954
523;542;30.44380281;19.61597795
524;543;30.44380326;19.6159341
525;544;30.44383843;19.61592569
526;545;30.44381248;19.61589035
527;546;30.44379476;19.6159077
528;547;30.44381239;19.61589911
529;548;30.44383888;19.61588185
530;549;30.44382436;19.61473276
531;550;30.44385022;19.61477688
532;551;30.44383286;19.61475916
533;552;30.44382382;19.61478538
534;553;30.44427426;19.61533377
535;554;30.44425681;19.61532482
536;555;30.44425672;19.61533359
537;556;30.44423918;19.61533341
538;557;30.44423041;19.61533332
539;558;30.44422182;19.61531569
540;559;30.44423936;19.61531587
541;560;30.44420428;19.61531551
542;561;30.44422164;19.61533323
543;562;30.4442041;19.61533305
544;563;30.44402862;19.61534002
545;564;30.44404616;19.6153402
546;565;30.44406352;19.61535792
547;566;30.44408115;19.61534933
548;567;30.44408974;19.61536696
549;568;30.44409878;19.61534074
550;569;30.4440986;19.61535828
551;570;30.44653044;19.60572692
