;place_name;place_type;long;lat;concat_person;person
113;Baradine;AdministrativeRegion;149.067;-30.95;http://dbpedia.org/resource/Craig_Emerson|Craig Emerson (1954);1
114;Baranda;Village;20.4394;45.0844;http://dbpedia.org/resource/Dragan_Veselinov|Dragan Veselinov (1950);1
115;Barby, Germany;Town;11.8667;51.9667;http://dbpedia.org/resource/Max_Sering|Max Sering (1857);1
116;Barcelona;City;2.18333;41.3833;http://dbpedia.org/resource/Eduard_Punset|Eduard Punset (1936),http://dbpedia.org/resource/Eugenio_Domingo_Solans|Eugenio Domingo Solans (1945),http://dbpedia.org/resource/Joan_Costa-i-Font|Joan Costa-i-Font (1974),http://dbpedia.org/resource/Jordi_Canals|Jordi Canals (1960),http://dbpedia.org/resource/Jordi_Galí|Jordi Galí (1961),http://dbpedia.org/resource/José_Luis_Sampedro|José Luis Sampedro (1917),http://dbpedia.org/resource/José_María_Valderas_Martínez|José María Valderas Martínez (1972),http://dbpedia.org/resource/Pol_Antràs|Pol Antràs (1975),http://dbpedia.org/resource/Xavier_Vives|Xavier Vives (1955);9
117;Bardera;;42.2833;2.33333;http://dbpedia.org/resource/Abdiweli_Sheikh_Ahmed|Abdiweli Sheikh Ahmed (2000);1
118;Bari;SoccerClub;16.8667;41.1253;http://dbpedia.org/resource/Salvatore_Rossi|Salvatore Rossi (1949);1
119;Barmen;;7.2;51.2667;http://dbpedia.org/resource/Friedrich_Engels|Friedrich Engels (1820);1
120;Barquisimeto;;-69.3347;10.0636;http://dbpedia.org/resource/Pedro_Carmona|Pedro Carmona (1941);1
121;Barranquilla;City;-74.7964;10.9639;http://dbpedia.org/resource/Cecilia_López_Montaño|Cecilia López Montaño (1943),http://dbpedia.org/resource/Gabriel_Silva_Luján|Gabriel Silva Luján (1957),http://dbpedia.org/resource/Gustavo_Bell|Gustavo Bell (1957),http://dbpedia.org/resource/Yaneth_Giha_Tovar|Yaneth Giha Tovar (2000);4
122;Basel;;7.59056;47.5547;http://dbpedia.org/resource/Beatrice_Weder_di_Mauro|Beatrice Weder di Mauro (1965),http://dbpedia.org/resource/Cuno_Pümpin|Cuno Pümpin (1939);2
123;Bashkortostan;AdministrativeRegion;56.2667;54.4667;http://dbpedia.org/resource/Elvira_Nabiullina|Elvira Nabiullina (1963);1
124;Basque Country (autonomous community);Village;-2.68333;42.8333;http://dbpedia.org/resource/Alberto_Abadie|Alberto Abadie (1968);1
125;Bastia;;9.4503;42.7008;http://dbpedia.org/resource/Xavier_Musca|Xavier Musca (1960);1
126;Bath, Maine;City;-69.8225;43.9164;http://dbpedia.org/resource/Glenn_Cummings|Glenn Cummings (1961);1
127;Batopilas, Chihuahua;Town;-107.739;27.0267;http://dbpedia.org/resource/Manuel_Gómez_Morín|Manuel Gómez Morín (1897);1
128;Bavaria;AdministrativeRegion;11.4311;48.7775;http://dbpedia.org/resource/Norbert_Walter_(economist)|Norbert Walter (economist) (1944);1
129;Bayonne;;-1.48;43.49;http://dbpedia.org/resource/Frédéric_Bastiat|Frédéric Bastiat (1801),http://dbpedia.org/resource/Henri_de_Castries|Henri de Castries (1954),http://dbpedia.org/resource/Michel_Camdessus|Michel Camdessus (1933);3
130;Bayonne, New Jersey;City;-74.1102;40.6625;http://dbpedia.org/resource/Faye_Duchin|Faye Duchin (2000),http://dbpedia.org/resource/Laura_Tyson|Laura Tyson (1947);2
131;Beatrice, Nebraska;City;-96.7431;40.2683;http://dbpedia.org/resource/Harold_Thayer_Davis|Harold Thayer Davis (1892);1
132;Beaumont, Texas;City;-94.1267;30.08;http://dbpedia.org/resource/John_Graham_(economist)|John Graham (economist) (1961);1
133;Beckley, West Virginia;City;-81.1881;37.7781;http://dbpedia.org/resource/Tom_Carper|Tom Carper (1947);1
134;Bedfordshire;AdministrativeRegion;-0.416667;52.0833;http://dbpedia.org/resource/Andrew_Stuart_Winckler|Andrew Stuart Winckler (1949);1
135;Bedum;Town;6.6;53.3;http://dbpedia.org/resource/Klaas_Knot|Klaas Knot (1967);1
136;Bedworth;;-1.477;52.475;http://dbpedia.org/resource/Diane_Elson|Diane Elson (1946);1
137;Beijing;Town;116.397;39.9067;http://dbpedia.org/resource/Yi_Gang|Yi Gang (1958);1
138;Beilen;;6.51111;52.8567;http://dbpedia.org/resource/Henk_Koning|Henk Koning (1933);1
139;Beirut;City;35.5131;33.8869;http://dbpedia.org/resource/Bassel_Fleihan|Bassel Fleihan (1963),http://dbpedia.org/resource/Charbel_Nahas|Charbel Nahas (1954),http://dbpedia.org/resource/Selim_Hoss|Selim Hoss (1929);3
140;Beja, Portugal;;-7.88333;38.0333;http://dbpedia.org/resource/Carlos_Moedas|Carlos Moedas (1970);1
141;Belfast;City;-5.93;54.5964;http://dbpedia.org/resource/John_Johnston_(econometrician)|John Johnston (econometrician) (1923),http://dbpedia.org/resource/W._Brian_Arthur|W. Brian Arthur (1945);2
142;Belgium;Country;4.35;50.85;http://dbpedia.org/resource/Alejandro_Végh_Villegas|Alejandro Végh Villegas (1928),http://dbpedia.org/resource/Bernard_Lietaer|Bernard Lietaer (1942),http://dbpedia.org/resource/Camille_Gutt|Camille Gutt (1884),http://dbpedia.org/resource/Emile_Vandervelde|Emile Vandervelde (1866),http://dbpedia.org/resource/Freddy_Thielemans|Freddy Thielemans (1944),http://dbpedia.org/resource/Herman_Van_Rompuy|Herman Van Rompuy (1947),http://dbpedia.org/resource/Ingrid_Robeyns|Ingrid Robeyns (1972),http://dbpedia.org/resource/Jacques_Drèze|Jacques Drèze (2000),http://dbpedia.org/resource/Jean-Pierre_Van_Rossem|Jean-Pierre Van Rossem (1945),http://dbpedia.org/resource/Jean_Drèze|Jean Drèze (2000),http://dbpedia.org/resource/Mathias_Dewatripont|Mathias Dewatripont (1959),http://dbpedia.org/resource/Olivier_Vanneste|Olivier Vanneste (1930),http://dbpedia.org/resource/Paul_De_Grauwe|Paul De Grauwe (1946),http://dbpedia.org/resource/Paul_van_Zeeland|Paul van Zeeland (1893),http://dbpedia.org/resource/Philippe_De_Brouwer|Philippe De Brouwer (1969),http://dbpedia.org/resource/Philippe_Van_Parijs|Philippe Van Parijs (1951),http://dbpedia.org/resource/Pierre_Jonckheer|Pierre Jonckheer (1951),http://dbpedia.org/resource/Werner_De_Bondt|Werner De Bondt (2000);18
143;Belgorod;City;36.6;50.6;http://dbpedia.org/resource/Vasily_Garbuzov|Vasily Garbuzov (1911);1
