FID;FID_;Entity;Layer;Color;Linetype;Elevation;LineWt;RefName;Angle;IDTombe;Inventaire;Secteur;Coordonnee;Coordonn_1;Campagne;Datation;Anciennes_;POINT_X;POINT_Y
122;0;Point;Tombb;198;Continuous;0;25; ;0;135;425;3;1101;-311;2010-2011;4;311;30.44370397;19.61535423
123;0;Point;Tombb;198;Continuous;0;25; ;0;136;426;3;1104;-307;2010-2011;4;307;30.44373877;19.6153809
124;0;Point;Tombb;198;Continuous;0;25; ;0;137;427;3;1104;-311;2010-2011;4;311;30.4437037;19.61538054
125;0;Point;Tombb;198;Continuous;0;25; ;0;138;428;3;1104;-312;2010-2011;4;312;30.44369493;19.61538045
126;0;Point;Tombb;198;Continuous;0;25; ;0;139;429;3;1100;-313;2010-2011;4;313;30.44368652;19.61534528
127;0;Point;Tombb;198;Continuous;0;25; ;0;140;430;3;1098;-312;2010-2011;4;312;30.44369547;19.61532783
128;0;Point;Tombb;198;Continuous;0;25; ;0;141;431;3;1105;-306;2010-2011;4;306;30.44374745;19.61538976
129;0;Point;Tombb;198;Continuous;0;25; ;0;142;299;1;1090;-272;2004-2005;4;272;30.44404697;19.61526128
130;0;Point;Tombb;198;Continuous;0;25; ;0;143;302;3;1086;-308;2004-2005;4;308;30.44373163;19.61522296
131;0;Point;Tombb;198;Continuous;0;25; ;0;144;303;3;1084;-308;2004-2005;4;308;30.44373181;19.61520542
132;0;Point;Tombb;198;Continuous;0;25; ;0;145;304;3;1084;-310;2004-2005;4;310;30.44371427;19.61520524
133;0;Point;Tombb;198;Continuous;0;25; ;0;146;305;3;1087;-304;2004-2005;4;304;30.44376661;19.61523209
134;0;Point;Tombb;198;Continuous;0;25; ;0;147;307;3;1096;-314;2004-2005;4;314;30.44367811;19.61531011
135;0;Point;Tombb;198;Continuous;0;25; ;0;148;306;3;1084;-300;2004-2005;4;300;30.44380196;19.61520614
136;0;Point;Tombb;198;Continuous;0;25; ;0;149;381;1;1091;-276;2010-2011;3;276;30.4440118;19.61526969
137;0;Point;Tombb;198;Continuous;0;25; ;0;150;382;1;1090;-279;2010-2011;3;279;30.44398558;19.61526065
138;0;Point;Tombb;198;Continuous;0;25; ;0;151;383;1;1086;-277;2010-2011;3;277;30.44400348;19.61522575
139;0;Point;Tombb;198;Continuous;0;25; ;0;152;384;1;1083;-271;2010-2011;3;271;30.44405637;19.61519998
140;0;Point;Tombb;198;Continuous;0;25; ;0;153;385;1;1092;-270;2010-2011;3;270;30.44406433;19.615279
141;0;Point;Tombb;198;Continuous;0;25; ;0;154;386;1;1092;-274;2010-2011;3;274;30.44402925;19.61527864
142;0;Point;Tombb;198;Continuous;0;25; ;0;155;387;1;1092;-277;2010-2011;3;277;30.44400294;19.61527837
143;0;Point;Tombb;198;Continuous;0;25; ;0;156;388;1;1092;-278;2010-2011;3;278;30.44399417;19.61527828
144;0;Point;Tombb;198;Continuous;0;25; ;0;157;389;1;1090;-280;2010-2011;3;280;30.44397681;19.61526056
145;0;Point;Tombb;198;Continuous;0;25; ;0;158;432;3;1091;-292;2011-2012;4;292;30.44387149;19.61526824
146;0;Point;Tombb;198;Continuous;0;25; ;0;159;433;3;1090;-294;2011-2012;4;294;30.44385404;19.6152593
147;0;Point;Tombb;198;Continuous;0;25; ;0;160;434;3;1089;-291;2011-2012;4;291;30.44388044;19.6152508
148;0;Point;Tombb;198;Continuous;0;25; ;0;161;435;3;1084;-290;2011-2012;4;290;30.44388966;19.61520704
149;0;Point;Tombb;198;Continuous;0;25; ;0;162;436;3;1085;-293;2011-2012;4;293;30.44386326;19.61521554
150;0;Point;Tombb;198;Continuous;0;25; ;0;163;437;3;1087;-296;2011-2012;4;296;30.44383677;19.61523281
151;0;Point;Tombb;198;Continuous;0;25; ;0;164;438;3;1084;-295;2011-2012;4;295;30.44384581;19.61520659
152;0;Point;Tombb;198;Continuous;0;25; ;0;165;439;1;1075;-256;2011-2012;3;256;30.44418863;19.61513117
153;0;Point;Tombb;198;Continuous;0;25; ;0;166;440;3;1096;-302;2011-2012;4;302;30.44378334;19.61531119
154;0;Point;Tombb;198;Continuous;0;25; ;0;167;441;3;1093;-309;2011-2012;4;309;30.44372223;19.61528425
155;0;Point;Tombb;198;Continuous;0;25; ;0;168;442;3;1094;-309;2011-2012;4;309;30.44372214;19.61529302
156;0;Point;Tombb;198;Continuous;0;25; ;0;169;443;3;1090;-306;2011-2012;4;306;30.4437488;19.61525821
