annee|continent
1930|Am. Nord
1932|Am. Nord
1956|Am. Nord
1932|Am. Nord
1963|Am. Nord
1942|Am. Nord
1895|Am. Nord
1964|Am. Nord
1944|Am. Nord
1960|Am. Nord
1939|Am. Nord
1943|Am. Nord
1953|Am. Nord
1954|Am. Nord
1954|Am. Nord
1935|Am. Nord
1957|Am. Nord
1941|Am. Nord
1949|Am. Nord
1954|Double nat.
1951|Moy. Orient
1947|Moy. Orient
1966|Moy. Orient
1922|Moy. Orient
1942|Moy. Orient
1946|Moy. Orient
1932|Moy. Orient
1967|Moy. Orient
1957|Moy. Orient
1957|Europe
1972|Europe
1877|Double nat.
1890|Am. Nord
1959|Am. Nord
1919|Am. Nord
1935|Am. Nord
1891|Am. Nord
1946|Am. Nord
1922|Am. Nord
1958|Am. Nord
1937|Am. Nord
1937|Am. Nord
1899|Am. Nord
1944|Am. Nord
1967|Am. Nord
1928|Am. Nord
1953|Am. Nord
1939|Am. Nord
1890|Am. Nord
1912|Am. Nord
1925|Am. Nord
1914|Am. Nord
1886|Am. Nord
1870|Am. Nord
1898|Am. Nord
1880|Am. Nord
1919|Am. Nord
1968|Am. Nord
1921|Am. Nord
1884|Am. Nord
1953|Am. Nord
1946|Am. Nord
1951|Am. Nord
1879|Am. Nord
1882|Am. Nord
1963|Am. Nord
1968|Am. Nord
1923|Am. Nord
1926|Am. Nord
1913|Am. Nord
1892|Am. Nord
1926|Am. Nord
1950|Am. Nord
1943|Am. Nord
1957|Am. Nord
1962|Am. Nord
1883|Europe
1940|Europe
1944|Europe
1954|Europe
1965|Asie
1930|Europe
1933|Europe
1891|Europe
1943|Europe
1957|Europe
1930|Am. Nord
1978|Am. Nord
1950|Am. Nord
1955|Am. Nord
1930|Am. Nord
1923|Am. Nord
1939|Am. Nord
1922|Am. Nord
1951|Am. Nord
1854|Am. Nord
1933|Am. Nord
1962|Am. Nord
1902|Am. Nord
1911|Am. Nord
1944|Am. Nord
1960|Am. Nord
1942|Am. Nord
1977|Am. Nord
1941|Am. Nord
1946|Am. Nord
1932|Am. Nord
1914|Am. Nord
1962|Europe
1957|Moy. Orient
1919|Moy. Orient
1979|Europe
1847|Europe
1978|Europe
1972|Europe
1962|Europe
1822|Europe
1968|Europe
1793|Europe
1943|Europe
1954|Europe
1953|Europe
1945|Europe
1834|Europe
1948|Europe
1939|Europe
1971|Europe
1977|Europe
1843|Europe
1952|Asie
1957|Asie
1959|Asie
1952|Afrique
1959|Afrique
1975|Afrique
1955|Double nat.
1959|Moy. Orient
1944|Moy. Orient
1971|Moy. Orient
1955|Moy. Orient
1954|Moy. Orient
1957|Moy. Orient
1956|Afrique
1933|Am. Centr.
1933|Am. Sud
1934|Am. Sud
1933|Am. Nord
1958|Am. Nord
1954|Am. Nord
1958|Am. Nord
1934|Am. Nord
1927|Am. Nord
1914|Am. Nord
1860|Europe
1979|Europe
1902|Europe
1956|Europe
1967|Europe
1944|Europe
1935|Europe
1960|Europe
1944|Europe
1949|Europe
1930|Europe
1944|Europe
1943|Europe
1950|Europe
1969|Afrique
1936|Afrique
1913|Europe
1851|Europe
1948|Europe
1891|Europe
1965|Europe
1840|Europe
1951|Europe
1912|Europe
1890|Europe
1943|Europe
1910|Europe
1888|Europe
1968|Europe
1939|Europe
1946|Europe
1909|Europe
1949|Europe
1947|Europe
1987|Afrique
1965|Double nat.
1953|Double nat.
1957|Double nat.
1891|Europe
1928|Europe
1961|Europe
1945|Europe
1877|Europe
1783|Europe
1845|Europe
1879|Europe
1907|Europe
1960|Europe
1956|Am. Centr.
1950|Am. Centr.
1954|Am. Centr.
1971|Am. Centr.
1950|Am. Centr.
1953|Am. Centr.
1964|Am. Centr.
1952|Am. Centr.
1953|Am. Centr.
1936|Am. Centr.
1959|Am. Centr.
1949|Europe
1966|Europe
1951|Europe
1961|Europe
1959|Europe
1935|Double nat.
1946|Double nat.
1953|Double nat.
1946|Europe
1947|Europe
1947|Europe
1923|Europe
1873|Europe
1940|Europe
1963|Europe
1921|Europe
1841|Europe
1970|Europe
1940|Europe
1947|Europe
1942|Europe
1984|Europe
1911|Europe
1938|Europe
1930|Europe
1956|Europe
1945|Europe
1960|Europe
1911|Europe
1943|Europe
1773|Europe
1962|Europe
1911|Europe
1947|Europe
1966|Europe
1965|Afrique
1971|Afrique
1963|Afrique
1948|Double nat.
1953|Asie
1961|Europe
1946|Europe
1947|Europe
1953|Am. Sud
1953|Am. Sud
1959|Am. Sud
1939|Europe
1957|Moy. Orient
1944|Moy. Orient
1955|Am. Nord
1957|Am. Nord
1941|Am. Nord
1948|Am. Nord
1964|Am. Nord
1952|Am. Nord
1861|Double nat.
1966|Europe
1962|Europe
1949|Europe
1950|non_codé
1948|Double nat.
1944|Double nat.
1890|Europe
1950|Double nat.
1950|Europe
1948|Europe
1969|Europe
1969|Europe
1952|Europe
1955|Europe
1970|Europe
1922|Double nat.
1946|Afrique
1928|Afrique
1933|Afrique
1950|Europe
1958|Europe
1941|Europe
1959|Europe
1965|Am. Sud
1974|Am. Sud
1953|Am. Sud
1939|Am. Sud
1827|Am. Nord
1961|Asie
1942|Double nat.
1958|Afrique
1928|Afrique
1963|Am. Sud
1941|Am. Sud
1882|Europe
1863|Europe
1815|Europe
1857|Europe
1862|Europe
1949|Afrique
1945|Afrique
1955|Afrique
1965|Afrique
1962|Afrique
1955|Afrique
1972|Afrique
1932|Afrique
1968|Afrique
1979|Afrique
1961|Afrique
1964|Afrique
1918|Moy. Orient
1959|Moy. Orient
1956|Moy. Orient
1942|Moy. Orient
1951|Moy. Orient
1954|non_codé
1851|Europe
1902|Europe
1959|Asie
1950|Am. Sud
1967|Am. Sud
1980|Am. Sud
1951|Europe
1950|Europe
1823|Europe
1825|Europe
1922|Am. Nord
1850|Am. Nord
1808|Europe
1789|Double nat.
1936|Asie
1933|Asie
1903|Europe
1849|Europe
1790|Europe
1790|Europe
1787|Europe
1774|Europe
1823|Europe
1860|Europe
1975|Europe
1948|Europe
1965|Europe
1964|Europe
1945|Afrique
1937|Afrique
1958|Afrique
1951|Afrique
1944|Afrique
1907|Double nat.
1912|Double nat.
1980|Double nat.
1935|Am. Centr.
1946|Am. Centr.
1936|Afrique
1979|Afrique
1963|Double nat.
1924|Double nat.
1949|Am. Sud
1976|Am. Sud
1819|Europe
1945|Europe
1944|Europe
1944|Europe
1963|Asie
1946|Asie
1962|Asie
1949|Double nat.
1968|Double nat.
1942|Double nat.
1844|Double nat.
1910|Double nat.
1926|Double nat.
1964|Afrique
1928|Afrique
1959|Afrique
1945|Afrique
1935|Afrique
1927|Afrique
1881|Europe
1810|Europe
1975|Asie
1938|Europe
1972|Double nat.
1964|Europe
1964|Asie
1922|Double nat.
1930|Am. Nord
1956|Double nat.
1854|Europe
1928|Europe
1946|Europe
1961|Am. Nord
1943|Am. Nord
1956|Am. Nord
1919|Am. Nord
1943|Am. Nord
1943|Am. Nord
1945|non_codé
1773|Double nat.
1966|Double nat.
1974|Double nat.
1952|Double nat.
1955|Afrique
1891|Océeanie
1948|Océeanie
1914|Océeanie
1789|Europe
1932|Europe
1937|non_codé
1945|non_codé
1937|Europe
1946|Double nat.
1883|Double nat.
1902|Double nat.
1883|Europe
1869|Am. Sud
1943|Am. Centr.
1952|Asie
1952|non_codé
1942|Afrique
1873|Europe
1916|Double nat.
1921|Europe
1958|Double nat.
1926|Asie
1926|non_codé
1958|Asie
1953|Asie
1940|Asie
1952|Asie
1946|Asie
1947|Asie
1944|Asie
1902|non_codé
1949|Europe
1902|Europe
1899|Europe
1904|Europe
1890|Double nat.
1918|Asie
1940|Asie
1940|Asie
1934|Am. Centr.
1946|Double nat.
1964|Europe
1964|non_codé
1934|Asie
1933|Afrique
1925|Afrique
1975|Asie
1968|Double nat.
1936|Europe
1951|Europe
1926|Europe
1852|Double nat.
1926|Double nat.
1956|Double nat.
1943|Océeanie
1942|Double nat.
1964|Europe
1974|Europe
1833|Europe
1950|Asie
1841|Europe
1968|Europe
1978|Am. Centr.
1908|Europe
1874|Europe
1874|Moy. Orient
1963|Europe
1960|Afrique
1961|Afrique
1940|Am. Nord
1940|Am. Centr.
1954|Double nat.
1957|non_codé
1952|Europe
1941|Europe
1975|Europe
1969|Double nat.
1932|Europe
1964|Europe
1963|Double nat.
1907|Europe
1963|Europe
1950|Double nat.
1919|Double nat.
1911|Double nat.
1958|Am. Sud
1942|Am. Sud
1914|Am. Sud
1942|Double nat.
1919|Moy. Orient
1984|Afrique
1931|Asie
1913|Double nat.
1867|Afrique
1954|non_codé
1958|Europe
1960|Europe
1933|Asie
1933|Moy. Orient
1956|Double nat.
1937|Europe
1945|Europe
1949|Double nat.
1933|Double nat.
1933|Double nat.
1930|Asie
1963|Asie
1921|Double nat.
1962|Double nat.
1948|Asie
1948|Asie
1960|Asie
1956|Asie
1930|Double nat.
1977|Moy. Orient
