|uri|name|annee_naiss|biogr
4090|http://data.bnf.fr/ark:/12148/cb16147219n#about|Jacques Charles Adrien Chevreux|1883|Licencié ès lettres (1902) et en droit (1904). - Préfet de la Lozère (1929), de la Marne (1936), du Var, de la Côte-d'Or (1938), de Constantine, Algérie (1940). - Préfet du Puy-de-Dôme (1941) et de la région. - Chargé de mission au cabinet du général De Gaulle (1943-1944). - Conseiller d'Etat (1944). - Meurt dans un accident d'automobile
4091|http://data.bnf.fr/ark:/12148/cb12260140j#about|Walther Schoenborn|1883|Juriste allemand, professeur de droit
4092|http://data.bnf.fr/ark:/12148/cb12340337z#about|Corrado Gini|1884|Statisticien, sociologue et économiste. - A dirigé les Services statistiques de l'Italie, fondé la Faculté des sciences statistiques et sociales de Rome
4093|http://data.bnf.fr/ark:/12148/cb13007239v#about|Joseph Vattier|1884|"Avocat. - Rédacteur à ""L'Économiste européen"", etc.. - Docteur en droit (Université de Caen, Faculté de droit, 1910)"
4094|http://data.bnf.fr/ark:/12148/cb12689594v#about|Walter Layton|1884|Patron de presse. - Économiste. - 1er baron Layton
4095|http://data.bnf.fr/ark:/12148/cb13173263c#about|David Simon Blondheim|1884|Linguiste. - Spécialiste des langues romanes. - Professeur à l'Université de l'Illinois , Urbana (1910-1917). - Professeur, John Hopkins university, Baltimore, Ma. (1924-1932). - Époux d'Eleanor Lansing Dulles Blondheim (1895-1996), économiste
4096|http://data.bnf.fr/ark:/12148/cb12300997n#about|John Maurice Clark|1884|Économiste. - A été professeur d'économie, Columbia university, New York
4097|http://data.bnf.fr/ark:/12148/cb12120608f#about|A.-L. Galéot|1884|Économiste
4098|http://data.bnf.fr/ark:/12148/cb12186262t#about|Henry Clay|1884|Économiste
4099|http://data.bnf.fr/ark:/12148/cb14561585n#about|Feliks Młynarski|1884|Homme politique et économiste. - Président de banque. - Professeur
4100|http://data.bnf.fr/ark:/12148/cb12327640z#about|Henri Lévy-Bruhl|1884|Juriste. - Professeur à la Faculté de droit, Université de Paris. - Fils de Lucien Lévy-Bruhl (1857-1939)
4101|http://data.bnf.fr/ark:/12148/cb12946985z#about|Roger Delombre|1884|Docteur en droit (Paris, 1910)
4102|http://data.bnf.fr/ark:/12148/cb12813773w#about|Georges Mauranges|1884|"Avocat. - Fondateur de ""La Lumière"". - Conseiller municipal de Libourne, Gironde (1912). - Docteur en droit (Paris, 1909). - Prénoms complets : Georges Jean Baptiste Louis Marie Joseph"
4103|http://data.bnf.fr/ark:/12148/cb12741997d#about|Alfred Détrez|1884|Docteur en droit, journaliste et essayiste
4104|http://data.bnf.fr/ark:/12148/cb12366934f#about|Mario Falco|1884|Professeur de droit ecclésiastique et canonique dans les universités de Macerata, Parme puis Milan
4105|http://data.bnf.fr/ark:/12148/cb15509893x#about|Jacobus Johannes Schrieke|1884|Juriste. - Installé à Batavia en 1909, il devient en 1933 vice-président du Conseil des Indes Neerlandaises. - Secrétaire général du Mouvement national-socialiste néerlandais (NSB) de 1941 à 1945. - Secrétaire général du Ministère de la Justice de 1941 à 1945. - Condamné à mort en 1945, sa peine fut commuée en vingt ans d'emprisonnement
4106|http://data.bnf.fr/ark:/12148/cb15933117r#about|René Allain|1884|Substitut au Mans. - Docteur en droit (Paris, 1907). - Licencié ès lettres
4107|http://data.bnf.fr/ark:/12148/cb12810233j#about|Camille Adolphe Gutt|1884|Homme d'affaires, diplomate et homme politique. - A été ministre des Finances (1934-1935, 1939-1945). - A été le premier président du Fonds Monétaire International (1946-1951). - Docteur en droit
4108|http://data.bnf.fr/ark:/12148/cb127947681#about|Toma Živanović|1884|Juriste. - A été professeur de droit pénal à la Faculté de droit de Belgrade (en 1919). - Docteur en droit (Paris, 1908)
4109|http://data.bnf.fr/ark:/12148/cb15536331w#about|Richard Ahlers|1884|Juriste. - Avocat. - Membre fondateur de la CDU de Brême, Allemagne
4110|http://data.bnf.fr/ark:/12148/cb111385441#about|Joseph Bréchignac|1884|Docteur en droit. - Avocat au tribunal de Saint-Étienne
